,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
EDGE_ID,SOURCE_ID,TARGET_ID,CURRENCY,TIMESTAMP,FLOW_DIRECTION,TOTAL_AMOUNT,BALANCE_DUE,TRANSACTION_NUMBER,NATURE_INVOICE,NODE_TYPE,PAYMENT_DATE,ORGANIZATION_NAME,SUPPLIER_NAME,TRANSACTION_REFERENCE
339157,300000004252049,300000004711547,EUR,11/17/23,DEPENSE_FOURNISSEUR,-31.74,-31.74,231100269,Credit memo,Fournisseur,,COMEXPOSIUM UO,TAXIS G7,231100269
414431,300000017358800,300000004712301,EUR,10/21/25,DEPENSE_FOURNISSEUR,-144000,-144000,AV3251,Credit memo,Fournisseur,,SILMO INTERNATIONAL UO,MILLENIUM,AV3251
348212,300000004252049,300000004712301,EUR,6/30/25,DEPENSE_FOURNISSEUR,-18000,-18000,AV3175,Credit memo,Fournisseur,,COMEXPOSIUM UO,MILLENIUM,AV3175
349150,300000004252049,300000004712301,EUR,6/16/25,DEPENSE_FOURNISSEUR,-216000,0,AV3165,Credit memo,Fournisseur,10/3/25 2:00 am,COMEXPOSIUM UO,MILLENIUM,727
403371,300000004252049,300000004712301,EUR,10/9/25,DEPENSE_FOURNISSEUR,-37801.85,-37801.85,AV3240,Credit memo,Fournisseur,,COMEXPOSIUM UO,MILLENIUM,AV3240
2,300000004252036,300000004712439,EUR,4/17/23,DEPENSE_FOURNISSEUR,-138.08,0,1099946,Credit memo,Fournisseur,12/13/24 1:00 am,SIAL UO,OPTIONS,607
415435,300000004252049,300000004712584,EUR,10/28/25,DEPENSE_FOURNISSEUR,-5188.8,-5188.8,10.25,Credit memo,Fournisseur,,COMEXPOSIUM UO,PROMOSALONS FRANCE,10.25
279197,300000004252036,300000004712605,EUR,12/30/24,DEPENSE_FOURNISSEUR,-7250,0,01/2024,Credit memo,Fournisseur,3/21/25 1:00 am,SIAL UO,PROMOSALONS MAROC,8
1,300000004252036,300000004712670,USD,7/18/23,DEPENSE_FOURNISSEUR,0,0,312068,Credit memo,Fournisseur,,SIAL UO,QUEBEC-CANADA AGRI-FOOD EXPORT G,312068
3001,300000004252036,300000004712670,USD,7/18/23,DEPENSE_FOURNISSEUR,-3500,-3500,312068_,Credit memo,Fournisseur,,SIAL UO,QUEBEC-CANADA AGRI-FOOD EXPORT G,312068_
